tp_pt,pt_br
potĩguasu,camarãozão
mosausuporanga,filtro_dos_sonhos
sapukaiusuyba,árvore_de_marcação
oiepéiuremĩ,jureminha
kaamondoara,caçador
pirakanguera,espinha_de_peixe
kamusĩ,panela_de_barro_louça_fina
eiratyra,colmeia
montemórapé,caminhos_de_monte_mór
kaaetá,matas
mboipiranga,coral
iyboiusu,salamanta
guarapirá,guarapirá
mbaeyma,zero
oiepé,um
mokõi,dois
mosapyr,três
oioirundyk,quatro
mbó,cinco
mboiepé,seis
mbomokõi,sete
mbomosapyr,oito
mborundyk,nove
muã,dez
muãiepé,onze
muãkõi,doze
muãsapyr,treze
muãrundyk,quatorze
muãmbó,quinze
muãmboiepé,dezesseis
muãmbomokõi,dezessete
muãmbomosapyr,dezoito
muãmborundyk,dezenove
mokõimuã,vinte
mosapyrmuã,trinta
oioirundykmuã,quarenta
mbómuã,cinquenta
sẽ,cem
mĩ,mil
mirã,milhão
mbirã,bilhão
ypy,primeiro
mokõia,segundo
mosapyra,terceiro
oioirundyka,quarto
mbosaba,quinto
mboiepésaba,sexto
mbomokõia,sétimo
mbomosapyra,oitavo
mborundyka,nono
muãndaba,décimo
muãndaboiepesaba,décimo_primeiro
muãkoia,décimo_segundo
muãsapyra,décimo_terceiro
muãrundyka,décimo_quarto
muãmbosaba,décimo_quinto
muãmboiepsaba,décimo_sexto
muãmbomokõisaba,décimo_sétimo
muãmbomosapyra,décimo_oitavo
muãmborundyka,décimo_nono
muãmuãndaba,vigésimo
arypy,domingo
aramokõia,segunda_feira
aramosapyra,terça_feira
arairundyka,quarta_feira
arambó,quinta_feira
aramboiepé,sexta_feira
arambomokoia,sábado
iasypy,janeiro
iasykõia,fevereiro
iasymosapyra,março
iasyrundyka,abril
iasypó,maio
iasypoiepé,junho
iasypokõia,julho
iasypomosapyra,agosto
iasypoirundyka,setembro
iasypuã,outubro
iasypuãiepé,novembro
iasypuãkõia,dezembro
mbotyraara,primavera
kuarasyara,verão
sobueraara,outono
royara,inverno
abaetéareteguasu,dia_dos_povos_indígenas
mosapyrypuambagueraara,dia_da_retomada_de_três_rios
tupinheengaara,dia_da_língua_tupi
apyabebeguasuara,dia_de_são_miguel_arcanjo
domingojacareyara,dia_de_jacaré_de_são_domingos
potĩguaretáara,dia_dos_potiguaras
ybytyrusuara,dia_da_terra_indígena_de_monte_mór
iub,amarelo
obyeté,azul
ting,branco
pytun,escuro
tanimbuk,cinza
ting,claro
itaiub,dourado
pytanhub,laranja
pytãpytun,marrom
pytang,pardo
itating,prateado
un,preto
obykanuguá,roxo
pytambotyr,rosa
oby,verde
pirang,vermelho
peb,achatado
ekotebẽ,aflito
oryb,alegre
puku,alto
umuan,antigo
ymuan,antigo
ai,azedo
obyeté,azul
mbegué,baixo_som
pu,barulhento
angaturam,bom
marangatu,bom
katu,bom
porang,bonito
aysó,bonito
matueté,bonito
nharõ,bravo
berab,brilhante
kaneõ,cansado
akytaĩ,curto
apuaĩ,curto
peb,chato
